Date,HomeTeam,AwayTeam,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA
16/08/2024,Man United,Fulham,H,1.63,4.38,5.3,1.68,4.5,5.5,1.65,4.23,5.28,1.7,4.33,5.5
17/08/2024,Ipswich,Liverpool,A,8.18,5.84,1.34,9,6.1,1.37,8.14,6.09,1.34,8.57,6.25,1.39
17/08/2024,Arsenal,Wolves,H,1.16,8.56,16.22,1.2,9.1,18,1.15,9.05,18.76,1.17,9.4,21
17/08/2024,Everton,Brighton,A,2.73,3.36,2.71,2.76,3.66,2.78,3.15,3.41,2.4,3.16,3.5,2.45
17/08/2024,Newcastle,Southampton,H,1.35,5.7,8.25,1.37,5.9,8.6,1.42,5.3,7.26,1.44,5.75,8
17/08/2024,Nott'm Forest,Bournemouth,D,2.47,3.42,2.97,2.51,3.7,3,2.24,3.5,3.37,2.38,3.55,3.37
17/08/2024,West Ham,Aston Villa,A,2.49,3.65,2.8,2.49,3.91,2.87,2.54,3.51,2.86,2.56,3.6,2.91
18/08/2024,Brentford,Crystal Palace,H,2.5,3.4,2.95,2.52,3.66,2.99,2.92,3.24,2.66,3,3.4,2.72
18/08/2024,Chelsea,Man City,A,4.19,3.93,1.84,4.3,4.22,1.88,3.86,3.91,1.97,3.89,3.96,2.05
19/08/2024,Leicester,Tottenham,D,5.09,4.39,1.63,5.3,4.52,1.67,4.64,4.33,1.71,4.9,4.4,1.74
24/08/2024,Brighton,Man United,H,2.51,3.66,2.76,2.54,3.87,2.79,2.42,3.76,2.86,2.57,3.85,2.96
24/08/2024,Crystal Palace,West Ham,A,2.17,3.68,3.33,2.21,3.76,3.36,1.97,3.84,3.84,1.95,3.96,3.93
24/08/2024,Fulham,Leicester,H,1.84,3.67,4.56,1.9,3.89,4.7,1.88,3.81,4.26,1.91,3.9,4.7
24/08/2024,Man City,Ipswich,H,1.08,13.21,25.71,1.1,14,34,1.1,11,31,1.12,15,32
24/08/2024,Southampton,Nott'm Forest,A,2.59,3.28,2.92,2.66,3.42,2.92,2.33,3.54,3.11,2.58,3.59,3.2
24/08/2024,Tottenham,Everton,H,1.45,4.87,7.03,1.49,5.1,7.3,1.37,5.66,8,1.41,5.73,8.5
24/08/2024,Aston Villa,Arsenal,A,4.55,3.98,1.77,4.7,4.1,1.84,4.85,4.04,1.74,4.85,4.16,1.78
25/08/2024,Bournemouth,Newcastle,D,3.05,3.73,2.28,3.06,3.95,2.32,2.63,3.66,2.68,2.68,3.75,2.74
25/08/2024,Wolves,Chelsea,A,4.46,4.03,1.78,4.6,4.17,1.82,3.91,3.94,1.93,4.1,3.99,1.93
25/08/2024,Liverpool,Brentford,H,1.25,7.05,10.11,1.28,7.5,11.5,1.22,7.75,12.5,1.25,7.75,13.5
31/08/2024,Arsenal,Brighton,D,1.34,5.87,8.1,1.37,6,9,1.37,5.48,8.43,1.4,5.6,8.6
31/08/2024,Brentford,Southampton,H,1.79,3.9,4.51,1.82,4.12,4.7,1.82,3.91,4.46,1.83,3.95,4.59
31/08/2024,Everton,Bournemouth,A,2.82,3.38,2.62,2.85,3.5,2.64,3.14,3.45,2.39,3.14,3.55,2.52
31/08/2024,Ipswich,Fulham,D,3.14,3.53,2.32,3.2,3.66,2.38,3.07,3.43,2.43,3.2,3.5,2.45
31/08/2024,Leicester,Aston Villa,A,4.8,4.09,1.71,4.9,4.2,1.78,4.01,3.87,1.92,4.2,3.88,1.95
31/08/2024,Nott'm Forest,Wolves,D,2.02,3.7,3.71,2.03,3.76,3.79,2,3.7,3.88,2,3.7,3.88
31/08/2024,West Ham,Man City,A,7.69,5.64,1.37,8,5.8,1.41,7.7,5.25,1.41,8.11,5.4,1.46
01/09/2024,Chelsea,Crystal Palace,D,1.63,4.4,5.06,1.68,4.55,5.2,1.68,4.24,5.05,1.69,4.51,5.1
01/09/2024,Newcastle,Tottenham,H,2.5,3.96,2.62,2.56,4.12,2.63,2.53,3.89,2.66,2.6,4,2.79
01/09/2024,Man United,Liverpool,A,3.93,4.31,1.82,4,4.4,1.9,3.51,4.11,2,3.76,4.19,2
14/09/2024,Southampton,Man United,A,4.5,4.13,1.74,4.83,4.2,1.79,4.2,4.12,1.82,4.5,4.17,1.88
14/09/2024,Brighton,Ipswich,D,1.38,5.13,8.05,1.41,5.4,8.5,1.53,4.61,6.22,1.54,4.9,7
14/09/2024,Crystal Palace,Leicester,D,1.62,4.13,5.48,1.66,4.3,5.6,1.67,4.02,5.43,1.7,4.1,5.5
14/09/2024,Fulham,West Ham,D,2.4,3.53,2.97,2.5,3.6,3.03,2.36,3.51,2.86,2.5,3.6,3.03
14/09/2024,Liverpool,Nott'm Forest,A,1.21,7.23,12.71,1.25,7.7,13,1.22,7.11,12.95,1.27,7.3,13
14/09/2024,Man City,Brentford,H,1.17,8.43,14.62,1.21,9.2,17,1.21,7.2,13.92,1.22,8.3,16.1
14/09/2024,Aston Villa,Everton,H,1.51,4.45,6.48,1.55,4.65,6.7,1.68,4,5.44,1.72,4.2,5.64
14/09/2024,Bournemouth,Chelsea,A,3.32,3.97,2.06,3.45,4.12,2.09,3.17,3.79,2.23,3.36,4,2.28
15/09/2024,Tottenham,Arsenal,A,3.03,3.62,2.32,3.13,3.75,2.4,2.77,3.49,2.63,3,3.75,2.63
15/09/2024,Wolves,Newcastle,A,3.41,3.71,2.1,3.48,3.8,2.18,3.6,3.73,2.07,4.03,3.8,2.1
21/09/2024,West Ham,Chelsea,A,3.59,3.93,1.99,3.71,4,2.05,3.59,3.94,2.01,3.81,4.05,2.06
21/09/2024,Aston Villa,Wolves,H,1.59,4.47,5.44,1.62,4.6,5.6,1.67,4.21,5.16,1.69,4.5,5.5
21/09/2024,Fulham,Newcastle,H,2.89,3.54,2.47,3,3.61,2.52,3.02,3.57,2.41,3.11,3.61,2.6
21/09/2024,Leicester,Everton,D,2.54,3.43,2.88,2.58,3.6,2.92,2.1,3.52,3.69,2.1,3.6,3.76
21/09/2024,Liverpool,Bournemouth,H,1.28,6.36,9.45,1.31,6.7,10,1.25,6.85,10.91,1.29,7.1,11
21/09/2024,Southampton,Ipswich,D,2.27,3.5,3.24,2.3,3.7,3.27,2.42,3.48,3.06,2.49,3.53,3.06
21/09/2024,Tottenham,Brentford,H,1.55,4.77,5.48,1.58,5,5.6,1.48,5.1,6.23,1.5,5.33,6.5
21/09/2024,Crystal Palace,Man United,D,2.92,3.76,2.35,2.96,3.88,2.42,2.8,3.55,2.57,3,3.8,2.53
22/09/2024,Brighton,Nott'm Forest,D,1.79,3.91,4.51,2.44,3.99,4.75,1.84,3.82,4.45,1.89,3.85,4.63
22/09/2024,Man City,Arsenal,D,1.85,3.66,4.54,1.87,3.75,4.75,1.81,3.66,4.91,1.83,3.75,5.37
28/09/2024,Newcastle,Man City,D,5.18,4.54,1.6,5.3,4.7,1.63,4.9,4.23,1.69,5.5,4.35,1.7
28/09/2024,Arsenal,Leicester,H,1.18,8.27,14.09,1.21,8.8,18,1.2,6.8,17.5,1.22,7.8,17.5
28/09/2024,Brentford,West Ham,D,2.23,3.63,3.22,2.27,3.82,3.26,2.26,3.56,3.27,2.33,3.7,3.4
28/09/2024,Chelsea,Brighton,H,1.75,4.3,4.32,1.77,4.35,4.5,1.81,4.2,4.15,1.81,4.3,4.5
28/09/2024,Everton,Crystal Palace,H,2.76,3.35,2.69,2.8,3.59,2.71,2.79,3.35,2.7,2.81,3.5,2.71
28/09/2024,Nott'm Forest,Fulham,A,2.49,3.32,3.03,2.51,3.52,3.23,2.65,3.16,3,2.66,3.23,3.2
28/09/2024,Wolves,Liverpool,A,8.09,5.63,1.36,8.5,5.9,1.38,8.72,5.95,1.33,9.5,6.3,1.35
29/09/2024,Ipswich,Aston Villa,D,4.34,3.77,1.85,4.4,4,1.91,3.64,3.59,2.1,3.9,3.65,2.11
29/09/2024,Man United,Tottenham,A,2.42,3.9,2.75,2.42,4.13,2.8,3.89,3.27,2.15,4,3.46,2.11
30/09/2024,Bournemouth,Southampton,H,1.65,4.37,5.01,1.68,4.53,5.25,1.49,4.69,6.79,1.58,4.75,6.79
05/10/2024,Crystal Palace,Liverpool,A,6.38,4.71,1.5,6.67,4.9,1.52,5.14,4.1,1.69,5.5,4.25,1.72
05/10/2024,Arsenal,Southampton,H,1.13,9.46,19.13,1.16,10,21,1.16,8.18,18.71,1.21,8.8,18.71
05/10/2024,Brentford,Wolves,H,2.14,3.62,3.44,2.14,3.75,3.7,2.11,3.61,3.6,2.11,3.7,3.86
05/10/2024,Leicester,Bournemouth,H,3.35,3.63,2.17,3.4,3.81,2.22,3.7,3.81,2.02,3.7,3.94,2.11
05/10/2024,Man City,Fulham,H,1.23,7.15,10.66,1.27,7.6,12,1.26,6.52,11.37,1.29,6.8,12
