Date,HomeTeam,AwayTeam,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA
17/08/2024,Genoa,Inter,D,6.6,4.18,1.55,6.8,4.35,1.6,7.5,4.2,1.5,8.1,4.4,1.51
17/08/2024,Parma,Fiorentina,D,3.37,3.43,2.25,3.5,3.54,2.27,3.5,3.3,2.15,3.73,3.38,2.14
17/08/2024,Empoli,Monza,D,2.53,3.13,3.14,2.58,3.25,3.2,2.5,3.1,3.1,2.55,3.25,3.31
17/08/2024,Milan,Torino,D,1.62,4.06,5.76,1.68,4.19,5.9,1.53,4.2,6.5,1.53,4.6,7.41
18/08/2024,Bologna,Udinese,D,1.95,3.29,4.57,1.98,3.54,4.75,2.05,3.2,4,2.15,3.37,4.25
18/08/2024,Verona,Napoli,H,4.99,3.67,1.78,5.1,3.91,1.85,5.5,3.6,1.7,5.57,3.8,1.78
18/08/2024,Cagliari,Roma,D,4.04,3.53,1.99,4.1,3.62,2.04,3.4,3.5,2.15,3.89,3.42,2.08
18/08/2024,Lazio,Venezia,H,1.48,4.46,7.29,1.52,4.61,7.5,1.4,4.5,8.5,1.43,5,9.55
19/08/2024,Lecce,Atalanta,A,4.44,3.62,1.88,4.5,3.83,1.92,3.6,3.4,2.1,3.81,3.49,2.2
19/08/2024,Juventus,Como,H,1.34,5.22,9.8,1.37,5.4,11,1.5,4.2,7,1.58,4.32,7
24/08/2024,Parma,Milan,H,4.9,4.16,1.69,5,4.2,1.76,5.5,4.2,1.62,5.77,4.33,1.66
24/08/2024,Udinese,Lazio,H,3.38,3.11,2.4,3.41,3.23,2.45,3.3,3.1,2.38,3.58,3.26,2.47
24/08/2024,Inter,Lecce,H,1.2,7.01,15.07,1.22,7.75,17,1.2,6.5,15,1.22,7.49,17
24/08/2024,Monza,Genoa,A,2.68,3.11,2.96,2.7,3.24,3,2.7,3,2.88,2.81,3.2,2.96
25/08/2024,Fiorentina,Venezia,D,1.44,4.65,7.64,1.48,4.8,8,1.5,4.4,7,1.52,4.88,7.5
25/08/2024,Torino,Atalanta,H,3.32,3.26,2.35,3.36,3.37,2.46,3.5,3.3,2.15,3.7,3.4,2.31
25/08/2024,Napoli,Bologna,H,1.94,3.62,4.11,1.97,3.74,4.24,2,3.3,4,2.04,3.5,4.38
25/08/2024,Roma,Empoli,A,1.5,4.45,6.8,1.55,4.5,7,1.5,4.2,7.5,1.51,4.6,8.25
26/08/2024,Cagliari,Como,D,2.13,3.43,3.66,2.15,3.65,3.73,2.25,3.2,3.4,2.3,3.4,3.55
26/08/2024,Verona,Juventus,A,5.23,3.77,1.72,5.5,3.95,1.77,4.75,3.5,1.8,5,3.58,1.92
30/08/2024,Venezia,Torino,A,3.63,3.3,2.23,3.68,3.4,2.24,3.5,3.2,2.2,3.53,3.41,2.35
30/08/2024,Inter,Atalanta,H,1.58,4.43,5.79,1.62,4.56,5.8,1.5,4.4,6.5,1.55,4.52,6.68
31/08/2024,Bologna,Empoli,D,1.66,3.79,5.89,1.7,3.94,6,1.73,3.5,5.5,1.77,3.75,5.7
31/08/2024,Lecce,Cagliari,H,2.33,3.18,3.45,2.35,3.35,3.55,2.25,3.1,3.5,2.36,3.24,3.8
31/08/2024,Lazio,Milan,D,2.97,3.44,2.46,3.01,3.65,2.53,2.8,3.25,2.6,2.9,3.45,2.61
31/08/2024,Napoli,Parma,H,1.5,4.66,6.48,1.53,4.8,7,1.4,4.75,8,1.48,5,8
01/09/2024,Fiorentina,Monza,D,1.7,3.86,5.24,1.74,4,5.4,1.85,3.4,4.6,1.92,3.75,5.4
01/09/2024,Genoa,Verona,A,2.02,3.29,4.25,2.03,3.47,4.3,2.1,3.2,3.8,2.15,3.4,4.1
01/09/2024,Juventus,Roma,D,1.76,3.73,5.02,1.82,3.83,5.1,1.75,3.6,5,1.8,3.76,5.3
01/09/2024,Udinese,Como,H,2.07,3.4,3.89,2.12,3.56,3.9,2.25,3.2,3.4,2.36,3.37,3.49
14/09/2024,Como,Bologna,D,3.03,3.15,2.57,3.12,3.4,2.58,3,3,2.6,3.13,3.2,2.69
14/09/2024,Empoli,Juventus,D,5.54,3.68,1.7,5.7,3.81,1.77,6,3.6,1.65,6.61,3.81,1.66
14/09/2024,Milan,Venezia,H,1.3,5.83,9.65,1.33,6.17,10.5,1.25,6,11,1.29,6.6,12
15/09/2024,Genoa,Roma,D,3.37,3.28,2.29,3.42,3.44,2.35,3.6,3.2,2.2,3.69,3.4,2.26
15/09/2024,Atalanta,Fiorentina,H,1.83,3.85,4.29,1.89,3.98,4.5,1.85,3.5,4.4,1.93,3.78,4.83
15/09/2024,Torino,Lecce,D,1.84,3.34,5.07,1.91,3.56,5.2,1.91,3.3,4.4,1.99,3.5,4.8
15/09/2024,Cagliari,Napoli,A,4.43,3.73,1.83,4.6,3.89,1.88,4.5,3.6,1.83,4.8,3.97,1.83
15/09/2024,Monza,Inter,D,7.58,4.97,1.41,8,5.1,1.46,9,4.8,1.36,9.8,5.2,1.41
