Date,HomeTeam,AwayTeam,FTR,PSH,PSD,PSA,MaxH,MaxD,MaxA,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA
15/08/2024,Ath Bilbao,Getafe,D,1.48,4.12,8.24,1.58,4.2,8.9,1.57,3.5,7,1.63,3.82,7.5
15/08/2024,Betis,Girona,D,2.41,3.42,3.07,2.46,3.47,3.12,2.3,3.25,3.1,2.5,3.47,3.21
16/08/2024,Celta,Alaves,H,2.05,3.37,4.12,2.09,3.41,4.2,2.05,3.1,3.75,2.15,3.34,4.14
16/08/2024,Las Palmas,Sevilla,D,2.87,3.23,2.71,2.92,3.31,2.75,2.55,3,2.7,2.78,3.37,2.95
17/08/2024,Osasuna,Leganes,D,1.89,3.47,4.57,1.93,3.57,4.7,1.8,3.1,4.75,1.91,3.41,5.32
17/08/2024,Valencia,Barcelona,A,4.89,3.85,1.75,5,4.05,1.79,4.33,3.6,1.8,4.7,3.86,1.91
18/08/2024,Sociedad,Vallecano,A,1.61,3.72,6.8,1.64,3.95,7,1.7,3.2,5,1.84,3.5,5.84
18/08/2024,Mallorca,Real Madrid,D,7.77,4.43,1.46,8,4.57,1.5,8.5,4.5,1.33,9.5,5.21,1.42
19/08/2024,Valladolid,Espanol,H,2.39,3.07,3.47,2.43,3.21,3.52,2.2,2.75,3.6,2.39,2.96,3.9
19/08/2024,Villarreal,Ath Madrid,D,3.43,3.68,2.12,3.49,3.8,2.17,3.3,3.4,2,3.7,3.66,2.16
23/08/2024,Celta,Valencia,H,2.17,3.37,3.71,2.18,3.43,3.78,2.1,3.2,3.6,2.23,3.45,3.75
23/08/2024,Sevilla,Villarreal,A,2.45,3.59,2.93,2.47,3.75,3,2.1,3.6,3.2,2.3,3.75,3.32
24/08/2024,Osasuna,Mallorca,H,2.52,3.02,3.28,2.54,3.21,3.31,2.25,2.88,3.3,2.43,3.28,3.51
24/08/2024,Barcelona,Ath Bilbao,H,1.63,4.22,5.34,1.67,4.37,5.4,1.53,4,5,1.64,4.45,5.8
24/08/2024,Espanol,Sociedad,A,4.18,3.12,2.11,4.3,3.32,2.16,3.8,2.88,2.05,4.12,3.26,2.22
24/08/2024,Getafe,Vallecano,D,2.53,2.93,3.38,2.59,3,3.41,2.6,2.63,3.1,2.75,2.91,3.4
25/08/2024,Real Madrid,Valladolid,H,1.17,8.51,16.25,1.2,9,18,1.08,8.5,18,1.17,10.1,21
25/08/2024,Leganes,Las Palmas,H,2.33,3,3.78,2.36,3.1,3.83,2.4,2.8,3.3,2.51,3.08,3.56
25/08/2024,Alaves,Betis,D,2.44,3.14,3.28,2.46,3.33,3.4,2.3,2.8,3.2,2.58,3.1,3.43
25/08/2024,Ath Madrid,Girona,H,1.6,4.35,5.47,1.66,4.45,5.6,1.4,4.33,6,1.52,4.92,7
26/08/2024,Villarreal,Celta,H,1.94,3.46,3.76,2.04,3.75,4.25,1.6,3.9,4.75,1.69,4.37,5.1
27/08/2024,Mallorca,Sevilla,D,2.47,3.11,3.33,2.49,3.27,3.35,2.2,3,3.4,2.38,3.33,3.55
27/08/2024,Vallecano,Barcelona,A,5.7,4.07,1.64,5.7,4.1,1.73,5,3.9,1.67,5.5,4.14,1.71
28/08/2024,Ath Bilbao,Valencia,H,1.63,3.91,5.96,1.65,4.03,6.5,1.67,3.6,5,1.76,3.81,5.43
28/08/2024,Valladolid,Leganes,D,2.34,3.02,3.64,2.36,3.16,3.75,2.15,2.88,3.9,2.26,3.1,4.09
28/08/2024,Ath Madrid,Espanol,D,1.29,5.48,12.02,1.33,5.7,12.02,1.2,5,12,1.28,6.01,14.09
28/08/2024,Sociedad,Alaves,A,1.71,3.58,5.78,1.75,3.7,6,1.53,3.5,6.5,1.68,3.9,7.34
29/08/2024,Girona,Osasuna,H,1.76,4,4.57,1.79,4.09,4.75,1.67,3.75,5,1.73,4.1,5.41
29/08/2024,Las Palmas,Real Madrid,D,8.1,5.27,1.38,8.5,5.4,1.42,9,5,1.3,10,5.81,1.36
31/08/2024,Barcelona,Valladolid,H,1.25,6.39,11.82,1.28,7,13,1.17,7,14,1.23,7.76,14.87
31/08/2024,Ath Bilbao,Ath Madrid,A,3.05,3.35,2.46,3.12,3.51,2.44,2.6,2.8,3.1,2.57,2.89,3.38
31/08/2024,Espanol,Vallecano,H,2.8,3.01,2.92,2.84,3.16,2.94,2.63,2.75,2.88,2.9,2.81,3.19
31/08/2024,Leganes,Mallorca,A,2.6,2.89,3.32,2.67,3,3.45,2.75,2.63,3,2.9,2.81,3.19
31/08/2024,Valencia,Villarreal,D,2.81,3.41,2.61,2.92,3.68,2.61,2.55,3.2,2.75,2.78,3.45,2.95
